"table","item","item_nm","item_kind","item_code","item_freq","numeric","new","bs","pl"
"daily","sym_mng","관리종목여부","COM","CP10001660","Daily",0,0,0,0
"daily","sym_stop","거래정지여부","COM","CP10001650","Daily",0,0,0,0
"daily","sym_reg","투자조치구분","COM","CP10001610","Daily",0,0,0,0
"daily","net_buy_fi","순매수대금(기관/외국인계)(원)","CIA","CI20123020","Daily",1,0,0,0
"daily","mkt_cap","시가총액 (보통-상장예정주식수 포함)(원)","SSC","S420002300","Daily",1,0,0,0
"daily","num_stock_o","기말발행주식수 (보통)(주)","SSC","S420004600","Daily",1,0,0,0
"daily","num_stock_t","기말발행주식수 (보통+우선)(주)","SSC","S420004750","Daily",1,0,0,0
"daily","sec_fn_1","FnGuide Sector","COM","CP10000600","Daily",0,0,0,0
"daily","sec_fn_2","FnGuide Industry Group","COM","CP10000800","Daily",0,0,0,0
"daily","sec_fn_3","FnGuide Industry","COM","CP10001000","Daily",0,0,0,0
"daily","sales_12mf","매출액 (E3, 12M Fwd)(원)","CON","FM30041500","FY1",1,0,0,0
"daily","opr_prof_12mf","영업이익 (E3, 12M Fwd)(원)","CON","FM30041515","FY1",1,0,0,0
"daily","earn_12mf","순이익 (E3, 12M Fwd)(원)","CON","FM30041520","FY1",1,0,0,0
"daily","earn_dom_12mf","지배주주귀속순이익 (E3, 12M Fwd)(원)","CON","FM30041525","FY1",1,0,0,0
"daily","bps_12mf","BPS (E3, 12M Fwd)(원)","CON","FM30041250","FY1",1,0,0,0
"daily","eps_num_fy1","EPS추정 전체수 (E3)","CON","FM30012110","FY1",1,0,0,0
"daily","eps_up_fy1","EPS추정 상향수 (E3)","CON","FM30012120","FY1",1,0,0,0
"daily","eps_down_fy1","EPS추정 하향수 (E3)","CON","FM30012130","FY1",1,0,0,0
"daily","eps_num_fy2","EPS추정 전체수 (E3)","CON","FM30012110","FY2",1,0,0,0
"daily","eps_up_fy2","EPS추정 상향수 (E3)","CON","FM30012120","FY2",1,0,0,0
"daily","eps_down_fy2","EPS추정 하향수 (E3)","CON","FM30012130","FY2",1,0,0,0
"fs","grs_asset","총자산(원)","NFS-IFRS(M)","M000901001","1st-Quarter",1,0,1,0
"fs","grs_cap","총자본(원)","NFS-IFRS(M)","M000903001","1st-Quarter",1,0,1,0
"fs","cap","자본금(원)","NFS-IFRS(M)","M000903005","1st-Quarter",1,0,1,0
"fs","net_asset","지배주주순자산(자사주차감전)(원)","NFS-IFRS(M)","M000903026","1st-Quarter",1,0,1,0
"fs","sales","매출액(원)","NFS-IFRS(M)","M000904001","1st-Quarter",1,0,0,1
"fs","opr_prof","영업이익(원)","NFS-IFRS(M)","M000906001","1st-Quarter",1,0,0,1
"fs","earn","당기순이익(원)","NFS-IFRS(M)","M000908001","1st-Quarter",1,0,0,1
"fs","earn_dom","지배주주순이익(원)","NFS-IFRS(M)","M000908004","1st-Quarter",1,0,0,1
"fs","op_cash_flow","영업활동으로인한현금흐름(원)","NFS-IFRS(M)","M000909001","1st-Quarter",1,0,0,1
"fs","cash_flow","현금흐름(원)","NFS-IFRS(M)","M000909011","1st-Quarter",1,0,0,1
"fs","dpr","배당수익률(보통주,현금+주식)(%)","NFCF-IFRS(M)","M000706032","Annual",1,0,0,1
"fs","prop_div","배당성향(현금+주식)(%)","NFCF-IFRS(M)","M000615001","Annual",1,0,0,1
